field,description,source,source website,secondary source,secondary source website
RESOLUTION,"NHD database resolution (i.e. “high”, “medium” or “local”)",NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
GNIS_ID,Geographic Names Information System ID for the value in GNIS_Name,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
GNIS_NAME,Feature Name from the Geographic Names Information System,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
AREASQKM,Feature area in square kilometers,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
ELEVATION,Feature elevation in feet,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
REACHCODE,Reach Code assigned to feature,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
FTYPE,NHD Feature Type,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
FCODE,Numeric code for various feature attributes; definitions for codes found in the NHDFCode lookup table,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
Shape_Leng,,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
Shape_Area,,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
ONOFFNET,"On/Off network flag – 1 = On network, 0 = Off network",NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
PurpCode,Purpose Code,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
PurpDesc,Purpose Description,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
MeanDepth,Mean lake depth in meters from J. Hollister,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
LakeVolume,Lake volume in cubic meters from J. Holister,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
MaxDepth,Max lake depth in meters from J. Hollister,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
MeanDUsed,MeanDUsed,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
MeanDCode,Mean Depth Code (coded domain – see NHDPlusV21 User Guide),NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
LakeArea,Lake area in square meters,NHD,https://www.epa.gov/waterdata/nhdplus-national-data,,
GRAND_ID,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
RES_NAME,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
DAM_NAME,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
ALT_NAME,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
RIVER,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
ALT_RIVER,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
MAIN_BASIN,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
SUB_BASIN,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
NEAR_CITY,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
ALT_CITY,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
ADMIN_UNIT,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
SEC_ADMIN,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
COUNTRY,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
SEC_CNTRY,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
YEAR,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
ALT_YEAR,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
DAM_HGT_M,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
ALT_HGT_M,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
DAM_LEN_M,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
ALT_LEN_M,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
AREA_SKM,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
AREA_POLY,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
AREA_REP,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
AREA_MAX,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
AREA_MIN,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
CAP_MCM,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
CAP_MAX,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
CAP_REP,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
CAP_MIN,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
DEPTH_M,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
DIS_AVG_LS,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
DOR_PC,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
ELEV_MASL,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
CATCH_SKM,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
CATCH_REP,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
DATA_INFO,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_IRRI,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_ELEC,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_SUPP,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_FCON,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_RECR,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_NAVI,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_FISH,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_PCON,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_LIVE,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
USE_OTHR,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
MAIN_USE,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
LAKE_CTRL,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
MULTI_DAMS,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
TIMELINE,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
COMMENTS,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
URL,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
QUALITY,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
EDITOR,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
LONG_DD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
LAT_DD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
Distance,http://sedac.ciesin.columbia.edu/data/set/grand-v1-dams-rev01/metadata,NASA GRanD,http://sedac.ciesin.columbia.edu/data/set/grand-v1-reservoirs-rev01,,
FNODE_,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TNODE_,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
LPOLY_,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RPOLY_,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
LENGTH,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
ERF1_20_,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
ERF1_20_ID,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HUC,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
SEG,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RFLAG,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
OWFLAG,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TFLAG,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
SFLAG,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TYPE,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
SEGL,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
LEV,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
PNAME,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
OWNAME,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
OWNMCD,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESCODE,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESVOIR1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESVOIR2,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESVOIR3,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESVOIR4,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
ERF1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
E2RF1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
PNAME_RES,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
PNMCD_RES,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
MEANQ,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
MEANV,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
FRAC,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STRAHLER,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STATE1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STATE2,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STATE3,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RCHTOT,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RESTOT,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
TERMFLAG,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
CONTFLAG,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
LRATIO,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
EDACDA,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
EDANAME,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HEADFLAG,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
DEMIAREA,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
DEMTAREA,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HYDSEQ,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
E2RF1_,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
RR,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HUC2,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HUC4,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
HUC6,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STAID1,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
STAID2,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
SITEID,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
CHAR,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
CHAR2,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
ID,,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Dam_Name_1,1. Dam_name—The official name of the dam or impoundment. No abbreviations used unless a part of the official name. Popular name used when the dam does not have official name (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Other_Dam_,2. Other_dam_name—Previous name of the dam. Name which is used commonly other than the official name (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
State,3. State—State in which the dam and reservoir are located according to the NID (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
NIDID,4. NIDID—Unique identification number issued by the U.S. Army Corps of Engineers. Formerly known as the National ID (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Year_Compl,5. Year_Completed— Year construction was completed on dam (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Reservoir_,6. Reservoir_Age— The year 2015 minus the year construction was completed.,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Hydraulic_,7. Hydraulic_Height (feet)—The vertical difference between the maximum design water level and the lowest point in the original streambed (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
NID_Height,"8. NID_Height (feet)—A calculated value based on dam height, structural height, and hydraulic height that provides a single value to facilitate database queries (1).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Maximum_Di,9. Maximum_Discharge (cubic feet/second)—Maximum discharge from the reservoir that the spillway can accommodate (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Maximum_St,10. Maximum_Storage (acre-feet)—The total storage space in a reservoir below the maximum attainable water surface elevation (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Normal_Sto,"11. Normal_Storage (acre-feet)—The total storage space in a reservoir below the normal retention level, including dead and inactive storage and excluding any flood control or surface storage (1).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
NID_Storag,12. NID_Storage (acre-feet)—Volume calculated by the NID based on the maximum storage and normal storage that provides a single storage value to facilitate database queries (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
NID_Stor_1,"13. NID_Storage (cubic feet)—Volume calculated by the NID based on the maximum storage and normal storage that provides a single storage value multiplied by 43,560 (1).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Surface_Ar,14. Surface_Area (acres)—The number of acres covered by the surface of the reservoir at its normal retention level (1).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Surface__1,"15. Surface_Area (square feet)—The number of acres covered by the surface of the reservoir at its normal retention level multiplied by 43,560 (8).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Surface__2,"16. Surface_Area (square miles)—The number of acres covered by the surface of the reservoir at its normal retention level, which is equal to acre—feet multiplied by 0.0015625 (8).",USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
Surface__3,17. Surface_Area (square meters)—The number of acres covered by the surface of the reservoir at its normal retention level multiplied by 4046.86 (8).,USGS Reservoir Morphology,https://pubs.usgs.gov/ds/1062/,USGS Enhanced River Reach File (ERF1),http://water.usgs.gov/GIS/dsdl/erf1_2.e00.gz
